632021,  SR,00055,     ,"US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.25,US 522 & US 340,6th St,12000,G,99%,1%,1%,0%,0%,0%,F,0.0908,F,0.5326,12000,G,2012,,,,,,,,,,,,,,,
632020,  SR,00055,     ,"US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.57,6th St,E Main St,15000,G,99%,1%,1%,0%,0%,0%,C,0.0880,F,0.5037,16000,G,2012,,,,,,,,,,,,,,,
632024,  SR,00055,     ,"US 340, VA 55",South Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.40,E Main St,US 340,13000,G,98%,1%,1%,0%,0%,0%,C,0.0867,F,0.5597,14000,G,2012,,,,,,,,,,,,,,,
632028,  SR,00055,     ,VA 55,South  St,112,Town of Front Royal,112,Town of Front Royal,0.54,"US 340, S Royal Ave","US 522, S Commerce Ave",14000,G,98%,0%,1%,1%,0%,0%,C,0.0869,F,0.5590,15000,G,2012,,,,,,,,,,,,,,,
632016,  SR,00055,     ,VA 55,John Marshall Hwy,112,Town of Front Royal,112,Town of Front Royal,1.72,"US 522, S Commerce Ave",ECL Front Royal,12000,F,98%,0%,1%,0%,1%,0%,C,0.0944,F,0.6095,13000,F,2012,,,,,,,,,,,,,,,
080512,  SR,00055,     ,VA 55,John Marshall Hwy,093,Warren County,093,Warren County,2.98,ECL Front Royal,SR 79 Apple Mountain Rd,13000,F,98%,1%,1%,0%,1%,0%,C,0.0929,F,0.7157,14000,F,2012,,,,,,,,,,,,,,,
080511,  SR,00055,     ,VA 55,John Marshall Hwy,093,Warren County,093,Warren County,1.35,SR 79 Apple Mountain Rd,Fauquier County Line,4300,F,98%,1%,1%,0%,0%,0%,C,0.0925,F,0.5000,4500,F,2012,,,,,,,,,,,,,,,
080193,  IS,00066,E    ,I-66 EB,I-66 E Ramp,093,Warren County,093,Warren County,0.25,I-81 N,Ramp from I-81 S,8800,G,84%,1%,1%,1%,14%,1%,F,,,,8200,G,2012,,17000,G,84%,1%,1%,1%,13%,1%,F,,,,15000,G
080192,  IS,00066,E    ,I-66 EB, ,093,Warren County,093,Warren County,6.36,I-81,"US 340, US 522 Winchester Rd",16000,A,84%,1%,1%,1%,14%,1%,F,0.1163,A,1.0000,15000,A,2012,,31000,A,84%,1%,1%,1%,13%,1%,F,0.1039,A,0.5148,29000,A
080190,  IS,00066,E    ,I-66 EB, ,093,Warren County,093,Warren County,6.49,"US 340, US 522 Winchester Rd",SR 79,15000,A,84%,1%,1%,1%,14%,1%,C,0.1235,A,1.0000,14000,A,2012,,30000,A,84%,1%,1%,1%,13%,1%,C,0.1066,A,0.5006,27000,A
080188,  IS,00066,E    ,I-66 EB, ,093,Warren County,093,Warren County,1.56,SR 79,Fauquier County Line,18000,A,86%,1%,1%,0%,11%,1%,C,0.1152,A,1.0000,17000,A,2012,,36000,N,87%,1%,1%,0%,11%,0%,N,,,,34000,N
782792,  IS,00066,E006A,I-66 EB Exit 006A,Ramp,093,Warren County,093,Warren County,0.16,I-66-E TO RT 522; 34000- SOUTH & NORTH,US 522 US 522- 120A TO & FROM RT 66,5600,G,,,,,,,X,,,,5600,G,2012,,,,,,,,,,,,,,,
782793,  IS,00066,E013A,I-66 EB Exit 013A,Ramp,093,Warren County,093,Warren County,0.19,I-66-E TO RT 79 SOUTH & NORTH,SR 79 FROM RT 66 EAST,1500,G,,,,,,,X,,,,1500,G,2012,,,,,,,,,,,,,,,
190154,  IS,00066,W    ,I-66 WB,I-66 W Ramp,034,Frederick County,093,Warren County,0.42,I-81 S,Warren County Line,7900,G,85%,1%,1%,1%,13%,1%,F,,,,7200,G,2012,,17000,G,84%,1%,1%,1%,13%,1%,F,,,,15000,G
890052,  IS,00066,W    ,I-66 WB,I-66 W Ramp,093,Warren County,093,Warren County,0.04,Frederick County Line,Ramp to I-81 N,7900,G,85%,1%,1%,1%,13%,1%,F,,,,7200,G,2012,,17000,G,84%,1%,1%,1%,13%,1%,F,0.0000,?,0.0000,15000,G
190052,  IS,00066,W    ,I-66 WB, ,093,Warren County,093,Warren County,6.62,I-81,"US 340, US 522 Winchester Rd",15000,A,85%,1%,1%,1%,13%,1%,F,0.1208,A,1.0000,14000,A,2012,,31000,A,84%,1%,1%,1%,13%,1%,F,0.1052,A,0.6062,29000,A
190051,  IS,00066,W    ,I-66 WB, ,093,Warren County,093,Warren County,6.55,"US 340, US 522 Winchester Rd",SR 79,15000,A,85%,1%,1%,1%,13%,1%,C,0.1249,A,1.0000,13000,A,2012,,30000,A,84%,1%,1%,1%,13%,1%,C,0.1066,A,0.5006,27000,A
890050,  IS,00066,W    ,I-66 WB, ,093,Warren County,093,Warren County,1.20,SR 79,Fauquier County Line,18000,N,87%,1%,1%,0%,10%,0%,N,0.1328,N,1.0000,17000,N,2012,,36000,N,87%,1%,1%,0%,11%,0%,N,,,,34000,N
782832,  IS,00066,W006A,I-66 WB Exit 006A,Ramp,093,Warren County,093,Warren County,0.22,I-66-W TO RT 522; 34000- SOUTH & NORTH,I-66-W TO RT 522; 34000- SOUTH & NORTH,4600,G,,,,,,,X,,,,4600,G,2012,,,,,,,,,,,,,,,
782833,  IS,00066,W013A,I-66 WB Exit 013A,Ramp,093,Warren County,093,Warren County,0.18,I-66-W TO RT 7900- SOUTH & NORTH,FR-870 SR 79 SR 79- B TO,5000,G,,,,,,,X,,,,5000,G,2012,,,,,,,,,,,,,,,
080515,  SR,00079,     ,VA 79,Apple Mountain Rd,093,Warren County,093,Warren County,0.23,SR 55 West of Linden,I-66,12000,G,97%,0%,1%,1%,1%,0%,C,0.0851,F,0.7260,12000,G,2012,,,,,,,,,,,,,,,
782945,  SR,00079, 000A,VA 79 Exit 000A,Ramp,093,Warren County,093,Warren County,0.23,SR 79 TO RT 66 EAST,I-66-E FROM RT 7900- SOUTH & NORTH,5000,G,,,,,,,X,0.1601,F,1.0000,5000,G,2012,,,,,,,,,,,,,,,
782946,  SR,00079, 000B,VA 79 Exit 000B,Ramp,093,Warren County,093,Warren County,0.20,FR-870 SR 79 I-66-W013A TO,I-66-W FRO RT 7900- SOUTH & NORTH,1400,G,,,,,,,X,0.0942,F,1.0000,1400,G,2012,,,,,,,,,,,,,,,
980503,  IS,00081,N    ,I-81 NB, ,093,Warren County,034,Frederick County,1.29,Shenandoah County Line,"I-66, Frederick County Line",27000,A,75%,1%,1%,1%,21%,2%,F,0.1074,A,1.0000,26000,A,2012,,52000,A,76%,1%,1%,1%,20%,2%,F,0.0998,A,0.5801,50000,A
880010,  IS,00081,S    ,I-81 SB, ,093,Warren County,034,Frederick County,1.15,Shenandoah County Line,Frederick County Line,26000,A,77%,1%,1%,1%,19%,2%,F,0.1116,A,1.0000,25000,A,2012,,52000,A,76%,1%,1%,1%,20%,2%,F,0.0000,?,0.0000,50000,A
080110,  US,00340,     ,US 340,Stonewall Jackson Hwy,093,Warren County,093,Warren County,2.46,Page County Line,"93-613 N, Bentonville Browntown Rd",4000,G,96%,1%,1%,1%,1%,0%,C,0.0917,F,0.6756,4200,G,2012,,,,,,,,,,,,,,,
080516,  US,00340,     ,US 340,Stonewall Jackson Hwy,093,Warren County,093,Warren County,5.30,"93-613 N, Bentonville Browntown Rd",93-607 Rocky Lane,6000,G,96%,1%,1%,2%,1%,0%,C,0.0882,F,0.7122,6300,G,2012,,,,,,,,,,,,,,,
080553,  US,00340,     ,US 340,Stonewall Jackson Hwy,093,Warren County,093,Warren County,2.78,93-607 Rocky Lane,93-619 Rivermont Dr,7500,G,96%,1%,1%,1%,1%,0%,F,0.0866,F,0.6734,7800,G,2012,,,,,,,,,,,,,,,
080557,  US,00340,     ,US 340,Stonewall Jackson Hwy,093,Warren County,093,Warren County,0.83,93-619 Rivermont Dr,SCL Front Royal,13000,G,96%,1%,1%,1%,1%,0%,F,0.0869,F,0.6507,13000,G,2012,,,,,,,,,,,,,,,
632023,  US,00340,     ,US 340,South Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.31,SCL Front Royal,SR 55 South St,14000,G,96%,1%,1%,1%,1%,0%,F,0.0906,F,0.6660,15000,G,2012,,,,,,,,,,,,,,,
632024,  US,00340,     ,"US 340, VA 55",South Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.40,SR 55 South St,E Main St,13000,G,98%,1%,1%,0%,0%,0%,C,0.0867,F,0.5597,14000,G,2012,,,,,,,,,,,,,,,
632020,  US,00340,     ,"US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.57,E Main St,6th St,15000,G,99%,1%,1%,0%,0%,0%,C,0.0880,F,0.5037,16000,G,2012,,,,,,,,,,,,,,,
632021,  US,00340,     ,"US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.25,6th St,"US 522, 8th St",12000,G,99%,1%,1%,0%,0%,0%,F,0.0908,F,0.5326,12000,G,2012,,,,,,,,,,,,,,,
632022,  US,00340,     ,"US 522, US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.35,"US 522, 8th St",14th St,23000,G,97%,1%,1%,1%,1%,0%,C,0.0877,F,0.5403,24000,G,2012,,,,,,,,,,,,,,,
632001,  US,00340,     ,"US 522, US 340, VA 55",14th St,112,Town of Front Royal,112,Town of Front Royal,0.24,North Royal Ave,Shenandoah Ave,23000,G,97%,1%,1%,1%,1%,0%,F,0.0886,F,0.5453,24000,G,2012,,,,,,,,,,,,,,,
632025,  US,00340,     ,"US 522, US 340, VA 55",Shenandoah Ave,112,Town of Front Royal,112,Town of Front Royal,0.34,14th St,CL Front Royal,30000,G,97%,1%,1%,1%,1%,0%,F,0.0897,F,0.5183,31000,G,2012,,,,,,,,,,,,,,,
632034,  US,00340,     ,"US 522, US 340, VA 55",Shenandoah Ave,093,Warren County,093,Warren County,0.45,CL Front Royal,SR 55 West,31000,G,96%,1%,1%,1%,1%,0%,C,0.0897,N,0.5183,31000,G,2012,,,,,,,,,,,,,,,
632026,  US,00340,     ,"US 522, US 340",Shenandoah Ave,093,Warren County,093,Warren County,0.22,SR 55 West,Old NCL Front Royal,29000,G,97%,0%,1%,1%,1%,0%,F,0.0860,F,0.5456,30000,G,2012,,,,,,,,,,,,,,,
080524,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.83,Old NCL Front Royal,I-66,29000,G,97%,0%,1%,1%,1%,0%,C,0.0865,F,0.5487,30000,G,2012,,,,,,,,,,,,,,,
080523,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,1.28,I-66,93-627 Reliance Rd,22000,G,86%,1%,1%,2%,10%,0%,C,0.0799,F,0.5148,23000,G,2012,,,,,,,,,,,,,,,
080559,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,2.81,93-627 Reliance Rd,93-802,16000,G,85%,1%,1%,2%,11%,0%,C,0.0802,F,0.5087,17000,G,2012,,,,,,,,,,,,,,,
080522,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.30,93-802,Frederick County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080521,  US,00340,     ,"US 522, US 340",Winchester Rd,034,Frederick County,093,Warren County,0.53,Warren County Line,Warren County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080520,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.39,Frederick County Line,Frederick County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080519,  US,00340,     ,"US 522, US 340",Winchester Rd,034,Frederick County,093,Warren County,0.30,Warren County Line,Warren County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080518,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.16,Frederick County Line,Clarke County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080517,  US,00340,     ,"US 522, US 340",Stonewall Jackson Hwy,021,Clarke County,093,Warren County,1.79,Warren County Line,US 522 Double Toll Gate,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080525,  US,00522,     ,US 522, ,093,Warren County,093,Warren County,3.77,Rappahannock County Line,SCL Front Royal,7800,G,97%,0%,1%,1%,1%,0%,C,0.0851,F,0.5426,8100,G,2012,,,,,,,,,,,,,,,
632005,  US,00522,     ,US 522,Chester Gap Rd,112,Town of Front Royal,112,Town of Front Royal,0.60,SCL Front Royal,Criser Rd,7500,G,97%,1%,1%,1%,1%,0%,C,0.0925,F,0.5146,7800,G,2012,,,,,,,,,,,,,,,
632006,  US,00522,     ,US 522,Chester Gap Rd,112,Town of Front Royal,112,Town of Front Royal,0.35,Criser Rd,SR 55 South St,11000,G,97%,1%,1%,1%,1%,0%,F,0.0886,F,0.5873,11000,G,2012,,,,,,,,,,,,,,,
632007,  US,00522,     ,US 522,Commerce Ave,112,Town of Front Royal,112,Town of Front Royal,0.47,SR 55 South St,Main St,21000,G,97%,1%,1%,0%,1%,0%,C,0.0928,F,0.5249,22000,G,2012,,,,,,,,,,,,,,,
632008,  US,00522,     ,US 522,Commerce Ave,112,Town of Front Royal,112,Town of Front Royal,0.74,Main St,Happy Creek Rd,20000,G,97%,0%,1%,1%,1%,0%,C,0.0896,F,0.5083,20000,G,2012,,,,,,,,,,,,,,,
632009,  US,00522,     ,US 522,Commerce Ave,112,Town of Front Royal,112,Town of Front Royal,0.35,Happy Creek Rd,US 340 North Royal Ave,14000,G,97%,0%,1%,1%,1%,0%,F,0.0888,F,0.5362,14000,G,2012,,,,,,,,,,,,,,,
632022,  US,00522,     ,"US 522, US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.35,Commerce Ave,14th St,23000,G,97%,1%,1%,1%,1%,0%,C,0.0877,F,0.5403,24000,G,2012,,,,,,,,,,,,,,,
632001,  US,00522,     ,"US 522, US 340, VA 55",14th St,112,Town of Front Royal,112,Town of Front Royal,0.24,North Royal Ave,Shenandoah Ave,23000,G,97%,1%,1%,1%,1%,0%,F,0.0886,F,0.5453,24000,G,2012,,,,,,,,,,,,,,,
632025,  US,00522,     ,"US 522, US 340, VA 55",Shenandoah Ave,112,Town of Front Royal,112,Town of Front Royal,0.34,14th St,NCL Front Royal,30000,G,97%,1%,1%,1%,1%,0%,F,0.0897,F,0.5183,31000,G,2012,,,,,,,,,,,,,,,
632034,  US,00522,     ,"US 522, US 340, VA 55",Shenandoah Ave,093,Warren County,093,Warren County,0.45,NCL Front Royal,"SR 55 W, Strasburg Rd",31000,G,96%,1%,1%,1%,1%,0%,C,0.0897,N,0.5183,31000,G,2012,,,,,,,,,,,,,,,
632026,  US,00522,     ,"US 522, US 340",Shenandoah Ave,093,Warren County,093,Warren County,0.22,"SR 55 W, Strasburg Rd",Old NCL Front Royal,29000,G,97%,0%,1%,1%,1%,0%,F,0.0860,F,0.5456,30000,G,2012,,,,,,,,,,,,,,,
080524,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.83,Old NCL Front Royal,I-66,29000,G,97%,0%,1%,1%,1%,0%,C,0.0865,F,0.5487,30000,G,2012,,,,,,,,,,,,,,,
080523,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,1.28,I-66,93-627 Reliance Rd,22000,G,86%,1%,1%,2%,10%,0%,C,0.0799,F,0.5148,23000,G,2012,,,,,,,,,,,,,,,
080559,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,2.81,93-627 Reliance Rd,93-802 Zion Church Rd,16000,G,85%,1%,1%,2%,11%,0%,C,0.0802,F,0.5087,17000,G,2012,,,,,,,,,,,,,,,
080522,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.30,93-802 Zion Church Rd,Frederick County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080521,  US,00522,     ,"US 522, US 340",Winchester Rd,034,Frederick County,093,Warren County,0.53,Warren County Line,Warren County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080520,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.39,Frederick County Line,Frederick County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080519,  US,00522,     ,"US 522, US 340",Winchester Rd,034,Frederick County,093,Warren County,0.30,Warren County Line,Warren County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080518,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.16,Frederick County Line,Clarke County Line,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
080517,  US,00522,     ,"US 522, US 340",Stonewall Jackson Hwy,021,Clarke County,093,Warren County,1.79,Warren County Line,US 340; SR 277 Double Toll Gate,17000,G,85%,1%,1%,2%,12%,0%,C,0.0813,F,0.5026,17000,G,2012,,,,,,,,,,,,,,,
783009,  US,00522, 120A,US 522 Exit 120A,Ramp,093,Warren County,093,Warren County,0.15,US 522 I-66-E006A TO & FROM RT 66,I-66-E FROM RT 522; 34000- SOUTH & NORTH,5500,G,,,,,,,X,0.0757,F,1.0000,5500,G,2012,,,,,,,,,,,,,,,
783010,  US,00522,N120B,US 522 NB Exit 120B,Ramp,093,Warren County,093,Warren County,0.19,US 522 TO RT 66 WEST,I-66-W FROM RT 522; 34000- NORTH,3500,G,,,,,,,X,0.1031,F,1.0000,3500,G,2012,,,,,,,,,,,,,,,
783011,  US,00522,S120B,US 522 SB Exit 120B,Ramp,093,Warren County,093,Warren County,0.15,US 522 TO RT 66 WEST,I-66-W FROM RT 522; 34000- SOUTH,2700,G,,,,,,,X,0.0865,F,1.0000,2700,G,2012,,,,,,,,,,,,,,,
780463,  FR,00225,     ,FR 225, ,093,Warren County,093,Warren County,0.71,Dead End,93-609 Ritenour Hollow Rd,650,R,,,,,,,X,,,,,,06/01/2011,,,,,,,,,,,,,,,
780507,  FR,00283,     ,FR 283, ,093,Warren County,093,Warren County,0.41,Dead End,Fauquier County Line,60,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
780509,  FR,00285,     ,FR 285, ,093,Warren County,093,Warren County,0.24,Dead End,93-647 Dismal Hollow Rd,80,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
780674,  FR,00730,     ,FR 730,Townsen Dr,093,Warren County,093,Warren County,0.26,Dead End,US 522 Winchester Rd,4400,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
780675,  FR,00731,     ,FR 731,Paterson Dr,093,Warren County,093,Warren County,0.26,93-655 Country Club Rd,Dead End,4100,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
780798,  FR,00870,     ,FR 870, ,093,Warren County,093,Warren County,0.08,SR 79; Ramps To & From I-66,Dead End,0,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
776289,  93,00600,     ,93-600,Hickerson Hollow Rd,093,Warren County,093,Warren County,1.00,Dead End,93-604 Harmony Hollow Rd,20,R,,,,,,,X,,,,,,05/17/2011,,,,,,,,,,,,,,,
776290,  93,00601,     ,93-601,Pomeroy Rd,093,Warren County,093,Warren County,1.00,Dead End,93-604 Harmony Hollow Rd,50,R,,,,,,,X,,,,,,05/17/2011,,,,,,,,,,,,,,,
776291,  93,00602,     ,93-602,Moore Rd,093,Warren County,093,Warren County,0.25,93-604 Harmony Hollow Rd,0.25 ME 93-604,230,R,,,,,,,X,,,,,,05/17/2011,,,,,,,,,,,,,,,
776292,  93,00602,     ,93-602,Moore Rd,093,Warren County,093,Warren County,0.45,0.25 ME 93-604,Dead End,30,R,,,,,,,X,,,,,,05/17/2011,,,,,,,,,,,,,,,
776293,  93,00603,     ,93-603, ,093,Warren County,093,Warren County,2.90,93-647 Dismal Hollow Rd,93-643 .,820,G,,,,,,,X,,,,820,G,2012,,,,,,,,,,,,,,,
303711,  93,00603,     ,93-603,Howellsville Rd,093,Warren County,093,Warren County,2.30,93-643,93-638 Blue Mtn Rd,2300,G,97%,1%,1%,0%,0%,0%,C,0.0940,F,0.5580,2400,G,2012,,,,,,,,,,,,,,,
776294,  93,00604,     ,93-604,Harmony Hollow Rd,093,Warren County,093,Warren County,0.90,Dead End,93-600 Hickerson Hollow Rd,60,R,,,,,,,X,,,,,,05/17/2011,,,,,,,,,,,,,,,
776295,  93,00604,     ,93-604,Harmony Hollow Rd,093,Warren County,093,Warren County,0.82,93-600 Hickerson Hollow Rd,93-602 Moore Rd,220,R,,,,,,,X,,,,,,05/17/2011,,,,,,,,,,,,,,,
303712,  93,00604,     ,93-604,Harmony Hollow Rd,093,Warren County,093,Warren County,0.34,93-602 Moore Rd,93-671 Harmony Orchard Rd,450,G,97%,2%,0%,0%,0%,0%,F,0.1238,F,0.6614,460,G,2012,,,,,,,,,,,,,,,
303713,  93,00604,     ,93-604,Harmony Hollow Rd,093,Warren County,093,Warren County,1.59,93-671 Harmony Orchard Rd,US 522,700,G,97%,2%,0%,0%,0%,0%,C,0.1023,F,0.5802,730,G,2012,,,,,,,,,,,,,,,
776296,  93,00605,     ,93-605,Poor House Rd,093,Warren County,093,Warren County,1.70,US 340 Stonewall Jackson Hwy,93-649 Browntown Rd,250,R,,,,,,,X,,,,,,08/05/2008,,,,,,,,,,,,,,,
776297,  93,00606,     ,93-606,Shenandoah Shores Rd,093,Warren County,093,Warren County,1.72,NCL Front Royal,1.72 MN of NCL,3300,G,,,,,,,X,,,,3300,G,2012,,,,,,,,,,,,,,,
776298,  93,00606,     ,93-606,Shenandoah Shores Rd,093,Warren County,093,Warren County,0.51,1.72 MN of NCL,2.23 MN of NCL,2200,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
776299,  93,00606,     ,93-606,Shenandoah Shores Rd,093,Warren County,093,Warren County,0.25,2.23 MN of NCL,Dead End,690,R,,,,,,,X,,,,,,05/11/2011,,,,,,,,,,,,,,,
776300,  93,00607,     ,93-607,Rocky Lane,093,Warren County,093,Warren County,0.60,US 340 Stonewall Jackson Hwy,0.60 ME US 340,280,R,,,,,,,X,,,,,,05/17/2011,,,,,,,,,,,,,,,
776301,  93,00607,     ,93-607,Rocky Lane,093,Warren County,093,Warren County,1.00,0.60 ME US 340,93-649 Browntown Rd,150,R,,,,,,,X,,,,,,05/17/2011,,,,,,,,,,,,,,,
776302,  93,00608,     ,93-608,Wilson Burke Rd,093,Warren County,093,Warren County,0.45,93-613,93-619 Mtn Rd,590,R,,,,,,,X,,,,,,08/07/2008,,,,,,,,,,,,,,,
776303,  93,00609,     ,93-609,Ritenour Hollow Rd,093,Warren County,093,Warren County,0.40,93-637 Guard Hill Rd,FR-225,620,R,,,,,,,X,,,,,,06/01/2011,,,,,,,,,,,,,,,
776304,  93,00609,     ,93-609,Ritenour Hollow Rd,093,Warren County,093,Warren County,0.77,FR-225,0.77 ME FR-225,710,R,,,,,,,X,,,,,,08/12/2008,,,,,,,,,,,,,,,
776305,  93,00609,     ,93-609,Ritenour Hollow Rd,093,Warren County,093,Warren County,0.27,0.77 ME FR-225,93-736 Molly Campbell Lane,630,R,,,,,,,X,,,,,,06/01/2011,,,,,,,,,,,,,,,
