Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bland Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
706673,  10,00609,     ,10-609,Dinky Track Rd,010,Bland County,010,Bland County,1.80,10-608 Wesendonick Rd,10-677 No Business Creek Rd,50,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706674,  10,00610,     ,10-610, ,010,Bland County,010,Bland County,1.10,Smyth County Line,10-742 Shady Grove Rd,50,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706675,  10,00610,     ,10-610, ,010,Bland County,010,Bland County,0.80,10-742 Shady Grove Rd,"SR 42 , W Blue Grass Hwy",70,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706676,  10,00611,     ,10-611, ,010,Bland County,010,Bland County,0.10,"SR 42, E Bluegrass Trail",0.10 MN SR 42,80,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706677,  10,00611,     ,10-611, ,010,Bland County,010,Bland County,0.50,0.10 MN SR 42,0.60 MN SR 42,80,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706678,  10,00611,     ,10-611, ,010,Bland County,010,Bland County,1.53,0.60 MN SR 42,10-612,70,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706679,  10,00612,     ,10-612,Kimberling Rd,010,Bland County,010,Bland County,0.56,US 52 North Scenic Hwy,0.56 ME US 52,100,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706680,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,4.22,0.56 ME US 52,4.78 ME US 52,110,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706681,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,0.89,4.78 ME US 52,5.67 ME US 52,90,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706682,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,0.75,5.67 ME US 52,10-627 Dalton Hollow Rd,100,R,,,,,,,X,,,,,,10/12/2003,,,,,,,,,,,,,,,
706683,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,1.55,10-627 Dalton Hollow Rd,10-611,90,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706684,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,2.90,10-611,10-631 Pinch Creek Rd,100,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706685,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,0.81,10-631 Pinch Creek Rd,10-606 Wilderness Rd,330,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706686,  10,00613,     ,10-613,Dry Fork Rd,010,Bland County,010,Bland County,0.37,Dead End,0.37 ME Dead End,70,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706687,  10,00613,     ,10-613,Dry Fork Rd,010,Bland County,010,Bland County,0.60,0.37 ME Dead End,0.97 ME Dead End,130,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706688,  10,00613,     ,10-613,Dry Fork Rd,010,Bland County,010,Bland County,0.20,0.97 ME Dead End,1.17 ME Dead End,210,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706689,  10,00613,     ,10-613,Dry Fork Rd,010,Bland County,010,Bland County,4.71,1.17 ME Dead End,10-663 Dangerfield Dr,530,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706690,  10,00613,     ,10-613, ,010,Bland County,010,Bland County,0.50,10-663 Dangerfield Dr,US 52 North Scenic Hwy,800,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706691,  10,00613,     ,10-613, ,010,Bland County,010,Bland County,6.16,US 52 North Scenic Hwy,Dead End,680,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706692,  10,00614,     ,10-614, ,010,Bland County,010,Bland County,12.70,Tazewell County Line,US 52 North Scenic Hwy,1400,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706693,  10,00615,     ,10-615, ,010,Bland County,010,Bland County,1.20,"US 52 S, South Scenic Hwy",10-620,420,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706694,  10,00615,     ,10-615,Suiter Rd,010,Bland County,010,Bland County,2.95,10-620,2.95 MN 10-620,70,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706695,  10,00615,     ,10-615,Suiter Rd,010,Bland County,010,Bland County,0.25,2.95 MN 10-620,10-618,70,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706696,  10,00615,     ,10-615, ,010,Bland County,010,Bland County,4.37,10-618,10-649 Pep St,1100,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706697,  10,00615,     ,10-615, ,010,Bland County,010,Bland County,0.32,10-649 Pep St,"US 52 N, North Scenic Hwy",1300,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706698,  10,00615,     ,10-615, ,010,Bland County,010,Bland County,0.59,"US 52 N, North Scenic Hwy",Dead End,440,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706699,  10,00616,     ,10-616,Sandy Hollow Rd,010,Bland County,010,Bland County,0.30,10-617,FR-2,50,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706700,  10,00617,     ,10-617, ,010,Bland County,010,Bland County,3.80,"US 52 S, South Scenic Hwy",10-619 Green Hill Rd,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706701,  10,00617,     ,10-617, ,010,Bland County,010,Bland County,1.97,10-619 Green Hill Rd,10-616 Sandy Hollow Rd,180,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706702,  10,00617,     ,10-617, ,010,Bland County,010,Bland County,1.00,10-616 Sandy Hollow Rd,"US 52 N, South Scenic Hwy",400,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706703,  10,00618,     ,10-618, ,010,Bland County,010,Bland County,1.20,10-615 Suiter Rd,Dead End,120,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706704,  10,00619,     ,10-619,Green Hill Rd,010,Bland County,010,Bland County,0.40,10-617,Dead End,46,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706705,  10,00620,     ,10-620, ,010,Bland County,010,Bland County,1.80,Dead End,10-615 Suiter Rd,160,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706706,  10,00621,     ,10-621, ,010,Bland County,010,Bland County,3.00,SR 42 West Blue Grass Hwy,US 52 South Scenic Hwy,230,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706707,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,1.00,"SR 42 S, West Blue Grass Hwy",1.00 ME SR 42,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706708,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.30,1.00 ME SR 42,10-626 WEST,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706709,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,1.40,10-626 WEST,10-626 EAST,70,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706710,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.30,10-626 EAST,0.30 ME 10-626,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706711,  10,00622,     ,10-622,Birch Grove Rd,010,Bland County,010,Bland County,0.40,0.30 ME 10-626,Jefferson Forest Bndy,40,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706712,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.40,Jefferson Forest Bndy,"10-625 W, Mountain Glen Dr",60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706713,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.53,"10-625 W, Mountain Glen Dr",10-625 EAST,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706714,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.70,10-625 EAST,10-624 Ravens Cliff Rd,70,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706715,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,2.30,10-624 Ravens Cliff Rd,10-623,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706716,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,2.70,10-623,"SR 42 W, West Blue Grass Hwy",70,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706717,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,2.30,"SR 42 W, West Blue Grass Hwy","SR 42 E, West Blue Grass Hwy",70,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706718,  10,00622,     ,10-622,Whackertown Rd,010,Bland County,010,Bland County,1.40,"SR 42 E, West Blue Grass Hwy",Dead End,90,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706719,  10,00623,     ,10-623, ,010,Bland County,010,Bland County,0.81,10-622,"SR 42 W, West Blue Grass Hwy",130,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706720,  10,00623,     ,10-623,Sharon Springs Rd,010,Bland County,010,Bland County,7.40,"SR 42 E, West Blue Grass Hwy",Tazewell County Line,40,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706721,  10,00624,     ,10-624,Ravens Cliff Rd,010,Bland County,010,Bland County,1.00,Dead End,10-622,60,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706722,  10,00625,     ,10-625,Mountain Glen Dr,010,Bland County,010,Bland County,0.50,Dead End,10-622 WEST,30,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706723,  10,00625,     ,10-625, ,010,Bland County,010,Bland County,0.60,10-622 EAST,SR 42 West Blue Grass Hwy,160,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706724,  10,00625,     ,10-625, ,010,Bland County,010,Bland County,0.40,SR 42 West Blue Grass Hwy,10-647 Willow Springs Rd,50,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706725,  10,00625,     ,10-625,Poor Valley Rd,010,Bland County,010,Bland County,0.30,10-647 Willow Springs Rd,0.30 MN 10-647,30,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706726,  10,00625,     ,10-625,Poor Valley Rd,010,Bland County,010,Bland County,6.40,0.30 MN 10-647,Dead End,10,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706727,  10,00626,     ,10-626, ,010,Bland County,010,Bland County,2.20,10-622 WEST,2.20 ME 10-622,40,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706728,  10,00626,     ,10-626, ,010,Bland County,010,Bland County,0.60,2.20 ME 10-622,10-622 EAST,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706729,  10,00626,     ,10-626, ,010,Bland County,010,Bland County,0.85,10-622 EAST,SR 42 West Blue Grass Hwy,150,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706730,  10,00627,     ,10-627,Dalton Hollow Rd,010,Bland County,010,Bland County,0.80,Dead End,10-612 Kimberling Rd,30,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706731,  10,00628,     ,10-628, ,010,Bland County,010,Bland County,0.08,US 52 North Scenic Hwy,10-652 Fernwood Dr,510,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706732,  10,00629,     ,10-629, ,010,Bland County,010,Bland County,1.30,10-606 Wilderness Rd,Dead End,250,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706733,  10,00630,     ,10-630, ,010,Bland County,010,Bland County,0.19,Dead End,10-665,5,R,,,,,,,X,,,,,,1994,,,,,,,,,,,,,,,
706734,  10,00631,     ,10-631,Pinch Creek Rd,010,Bland County,010,Bland County,1.75,10-612,Dead End,340,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706735,  10,00632,     ,10-632,Parcell Dr,010,Bland County,010,Bland County,0.24,10-602,Dead End,45,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706736,  10,00633,     ,10-633,Short Ridge Dr,010,Bland County,010,Bland County,0.65,Dead End,10-631 Pinch Creek Rd,110,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706737,  10,00634,     ,10-634,Mechanicsburg Rd,010,Bland County,010,Bland County,0.57,10-738 Byrnes Chapel Rd,SR 42 East Blue Grass Hwy,180,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706738,  10,00635,     ,10-635,Pearl St,010,Bland County,010,Bland County,0.07,10-637 Starks St,Cul-de-Sac,30,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706739,  10,00636,     ,10-636,Walnut Dr,010,Bland County,010,Bland County,0.10,Dead End,10-615,300,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706740,  10,00636,     ,10-636,Walnut Dr,010,Bland County,010,Bland County,0.06,10-615,10-648,9,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706741,  10,00637,     ,10-637,Starks St,010,Bland County,010,Bland County,0.10,10-615,10-636 Walnut Dr,50,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706742,  10,00638,     ,10-638,Wright Mountain Dr,010,Bland County,010,Bland County,0.47,10-629,Dead End,120,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706743,  10,00639,     ,10-639, ,010,Bland County,010,Bland County,0.20,10-608 Skydusky Rd,Dead End,10,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706744,  10,00640,     ,10-640,Crystal Springs Dr,010,Bland County,010,Bland County,1.00,Dead End,10-738 Byrnes Chapel Rd,46,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706745,  10,00640,     ,10-640,Trails End Dr,010,Bland County,010,Bland County,3.00,10-738 Byrnes Chapel Rd,3.00 ME 10-738,130,R,,,,,,,X,,,,,,10/11/2006,,,,,,,,,,,,,,,
706746,  10,00640,     ,10-640,Trails End Dr,010,Bland County,010,Bland County,0.70,3.00 ME 10-738,Dead End,20,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706747,  10,00641,     ,10-641,Walnut Hollow Dr,010,Bland County,010,Bland County,0.03,10-606 Wilderness Rd,0.03 MN 10-606,20,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706748,  10,00641,     ,10-641,Walnut Hollow Dr,010,Bland County,010,Bland County,0.12,0.03 MN 10-606,Dead End,20,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706749,  10,00642,     ,10-642,Hicksville Rd,010,Bland County,010,Bland County,0.70,"US 52 S, North Scenic Hwy","US 52 N, North Scenic Hwy",30,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706750,  10,00643,     ,10-643,Grassy Branch Dr,010,Bland County,010,Bland County,0.40,Dead End,US 52 South Scenic Hwy,40,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706751,  10,00644,     ,10-644, ,010,Bland County,010,Bland County,0.40,Dead End,SR 61 Wolf Creek Hwy,40,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706752,  10,00645,     ,10-645,Stillhouse Spring Dr,010,Bland County,010,Bland County,1.10,Dead End,"SR 42, E Bluegrass Trail",70,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706753,  10,00646,     ,10-646,Hunting Camp Rd,010,Bland County,010,Bland County,0.37,10-615 WEST,0.37 ME 10-615,70,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706754,  10,00646,     ,10-646,Hunting Camp Rd,010,Bland County,010,Bland County,2.31,0.37 ME 10-615,10-615 EAST,200,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706755,  10,00647,     ,10-647,Willow Springs Rd,010,Bland County,010,Bland County,0.32,Dead End,10-625 Poor Valley Rd,50,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706756,  10,00648,     ,10-648, ,010,Bland County,010,Bland County,0.49,US 52 North Scenic Hwy,Dead End,3,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706757,  10,00649,     ,10-649,West Camp Dr,010,Bland County,010,Bland County,0.03,Dead End,10-654 Chase St,40,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706758,  10,00649,     ,10-649,Pep St,010,Bland County,010,Bland County,0.14,10-654 Chase St,10-615,180,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706759,  10,00650,     ,10-650,Round Bottom Dr,010,Bland County,010,Bland County,0.90,Dead End,SR 61 Wolf Creek Hwy,20,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706760,  10,00651,     ,10-651,Rock Wall Dr,010,Bland County,010,Bland County,0.22,Dead End,10-604,30,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706761,  10,00652,     ,10-652,Fernwood Dr,010,Bland County,010,Bland County,0.05,Dead End,10-628,30,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706762,  10,00653,     ,10-653,Osborne Dr,010,Bland County,010,Bland County,0.20,10-738 Byrnes Chapel Rd,Dead End,140,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706763,  10,00654,     ,10-654,Chase St,010,Bland County,010,Bland County,0.08,10-649 Pep St; West Camp Dr,10-615,240,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706764,  10,00655,     ,10-655,Elm Dr,010,Bland County,010,Bland County,0.16,US 52 North Scenic Hwy,Dead End,60,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706765,  10,00656,     ,10-656,Raleigh Grayson Tpke,010,Bland County,010,Bland County,0.86,Dead End,10-658 Old Mill Rd,90,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706766,  10,00656,     ,10-656,Raleigh Grayson Tpke,010,Bland County,010,Bland County,1.40,10-658 Old Mill Rd,10-1001 Jackson St,150,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706767,  10,00656,     ,10-656,Raleigh Grayson Tpke,010,Bland County,010,Bland County,0.07,10-1001 Jackson St,SR 98 Main St,130,R,,,,,,,X,,,,,,04/11/2006,,,,,,,,,,,,,,,
706768,  10,00657,     ,10-657,Villa Heights Dr,010,Bland County,010,Bland County,0.25,10-614,Dead End,120,R,,,,,,,X,,,,,,08/31/2006,,,,,,,,,,,,,,,
706769,  10,00658,     ,10-658,Old Mill Rd,010,Bland County,010,Bland County,1.21,Dead End,10-656 Raleigh Grayson Tpke,30,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706770,  10,00659,     ,10-659,GB Keglely Dr,010,Bland County,010,Bland County,0.45,US 52 South Scenic Hwy,Dead End,110,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706771,  10,00660,     ,10-660,ML Thompson Dr,010,Bland County,010,Bland County,0.10,Dead End,SR 61 Wolf Creek Hwy,210,R,,,,,,,X,,,,,,04/24/2006,,,,,,,,,,,,,,,
706772,  10,00661,     ,10-661, ,010,Bland County,010,Bland County,0.03,10-653 Osborne Dr,Dead End,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
706773,  10,00662,     ,10-662,Hungry Hollow Dr,010,Bland County,010,Bland County,0.30,10-606 Wilderness Rd,Dead End,60,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706774,  10,00663,     ,10-663,Dangerfield Dr,010,Bland County,010,Bland County,0.08,10-613 Dry Fork Rd,Dead End,30,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706775,  10,00664,     ,10-664, ,010,Bland County,010,Bland County,0.20,Dead End,10-608,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
706776,  10,00665,     ,10-665, ,010,Bland County,010,Bland County,0.55,Dead End,US 52 Clear Fork Creek Hwy,280,R,,,,,,,X,,,,,,08/24/2006,,,,,,,,,,,,,,,
706777,  10,00666,     ,10-666,Indian Village Trail,010,Bland County,010,Bland County,0.15,US 52 North Scenic Hwy,I-77 WEST Ramp,3800,R,,,,,,,X,,,,,,08/31/2006,,,,,,,,,,,,,,,
706778,  10,00666,     ,10-666,Indian Village Trail,010,Bland County,010,Bland County,0.17,I-77 WEST Ramp,I-77 EAST Ramp,2100,R,,,,,,,X,,,,,,08/31/2006,,,,,,,,,,,,,,,
706779,  10,00666,     ,10-666,Indian Village Trail,010,Bland County,010,Bland County,0.01,I-77 EAST Ramp,FR-3 Arrowhead Dr,1100,R,,,,,,,X,,,,,,08/31/2006,,,,,,,,,,,,,,,
784864,  10,00666, 000A,10-666 Exit 000A,Ramp,010,Bland County,010,Bland County,0.19,10-666 TO AND FROM RT,I-77-S FROM RT 666,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
784865,  10,00666, 000B,10-666 Exit 000B,Ramp,010,Bland County,010,Bland County,0.19,10-666 TO AND FROM RT,I-77-N FROM RT 666,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
706780,  10,00667,     ,10-667,Bland Farm Rd,010,Bland County,010,Bland County,0.49,Dead End,SR 42 East Blue Grass Hwy,600,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706781,  10,00668,     ,10-668,Long Spur School Rd,010,Bland County,010,Bland County,0.05,Dead End,10-602 Spur Branch Rd,2,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706782,  10,00670,     ,10-670,Mount Zion Rd,010,Bland County,010,Bland County,1.75,10-738 Byrnes Chapel Rd,1.75 ME 10-738,80,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706783,  10,00670,     ,10-670, ,010,Bland County,010,Bland County,1.55,1.75 ME 10-738,Giles County Line,90,R,,,,,,,X,,,,,,10/07/2003,,,,,,,,,,,,,,,
706784,  10,00671,     ,10-671,Dismal Creek Rd,010,Bland County,010,Bland County,0.42,10-606 Wilderness Rd,Dead End,110,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
785999,  10,00674,     ,10-674,Meadowview Rd,010,Bland County,010,Bland County,0.15,US 52 South Scenic Hwy,Dead End,90,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
795556,  10,00676,     ,10-676, ,010,Bland County,010,Bland County,0.25,Dead End,US 52,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
706785,  10,00677,     ,10-677,No Business Creek Rd,010,Bland County,010,Bland County,1.20,10-608 Wesendonick Rd,10-609 Dinky Track Rd,250,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706786,  10,00677,     ,10-677,No Business Creek Rd,010,Bland County,010,Bland County,0.10,10-609 Dinky Track Rd,Giles County Line,80,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706787,  10,00677,     ,10-677,No Business Creek Rd,035,Giles County,010,Bland County,1.90,Giles County Line,Dead End,80,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706788,  10,00678,     ,10-678,Shady Branch Circle,010,Bland County,010,Bland County,1.65,"SR 61 W, Wolf Creek Hwy",1.65 ME SR 61,150,R,,,,,,,X,,,,,,08/24/2006,,,,,,,,,,,,,,,
706791,  10,00678,     ,10-678,Shady Branch Circle,010,Bland County,010,Bland County,0.80,1.65 ME SR 61,2.45 ME SR 61,100,R,,,,,,,X,,,,,,08/24/2006,,,,,,,,,,,,,,,
706792,  10,00678,     ,10-678,Shady Branch Circle,010,Bland County,010,Bland County,1.12,2.45 ME SR 61,"SR 61 E, Wolf Creek Hwy",90,R,,,,,,,X,,,,,,08/24/2006,,,,,,,,,,,,,,,
706793,  10,00679,     ,10-679,Depot Dr,010,Bland County,010,Bland County,0.10,Dead End,US 52 North Scenic Hwy,140,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
782182,  10,00680,     ,10-680,Brushy Mountain Rd,010,Bland County,010,Bland County,0.89,10-615; 10-620,Cul-de-Sac,280,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
792296,  10,00684,     ,10-684, ,010,Bland County,010,Bland County,0.32,10-617,Dead End,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
706794,  10,00690,     ,10-690, ,010,Bland County,010,Bland County,0.30,10-660 ML Thompson Dr,Dead End,190,R,,,,,,,X,,,,,,04/24/2006,,,,,,,,,,,,,,,
402635,  10,00717,     ,10-717, ,010,Bland County,010,Bland County,0.05,Wythe County Line,I-77,250,G,95%,1%,1%,2%,2%,0%,C,0.1179,F,0.6129,270,G,2011,,,,,,,,,,,,,,,
706796,  10,00717,     ,10-717,Little Creek Hwy,010,Bland County,010,Bland County,2.13,I-77,10-601,290,G,98%,1%,0%,0%,0%,0%,C,0.0978,F,0.6389,300,G,2011,,,,,,,,,,,,,,,
784866,  10,00717, 000A,10-717 Exit 000A,Ramp,010,Bland County,010,Bland County,0.32,TO I- 77,I-77-S FROM RT 717,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
784867,  10,00717, 000B,10-717 Exit 000B,Ramp,010,Bland County,010,Bland County,0.15,FROM RT 717,I-77-N FROM RT 717,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
706797,  10,00738,     ,10-738,Byrnes Chapel Rd,010,Bland County,010,Bland County,2.31,Pulaski County Line,10-670 Mount Zion Rd,40,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706798,  10,00738,     ,10-738,Byrnes Chapel Rd,010,Bland County,010,Bland County,2.85,10-670 Mount Zion Rd,"10-640 S, Crystal Springs Dr",270,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706799,  10,00738,     ,10-738,Byrnes Chapel Rd,010,Bland County,010,Bland County,0.53,"10-640 S, Crystal Springs Dr",10-634 Mechanicsburg Rd,380,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706800,  10,00738,     ,10-738,Byrnes Chapel Rd,010,Bland County,010,Bland County,0.37,10-634 Mechanicsburg Rd,"SR 42, E Bluegrass Trail",370,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706801,  10,00742,     ,10-742,Shady Grove Rd,010,Bland County,010,Bland County,0.30,Smyth County Line,10-610,10,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
